,municipio,date
0,Espita,2020-04-15
1,Temozón,2020-04-15
2,Cenotillo,2020-04-15
3,Calotmul,2020-04-15
4,Sucilá,2020-04-15
5,Chichimilá,2020-04-15
6,Tixcacalcupul,2020-04-15
7,Chankom,2020-04-15
8,Dzitás,2020-04-15
9,Uayma,2020-04-15
10,Tekom,2020-04-15
11,Kaua,2020-04-15
12,Cuncunul,2020-04-15
13,Quintana Roo,2020-04-15
14,Tahdziú,2020-04-15
15,Maní,2020-04-15
16,Dzan,2020-04-15
17,Santa Elena,2020-04-15
18,Chumayel,2020-04-15
19,Chapab,2020-04-15
20,Mama,2020-04-15
21,Chacksinkín,2020-04-15
22,Cantamayec,2020-04-15
23,Hoctún,2020-04-15
24,Hocabá,2020-04-15
25,Sotuta,2020-04-15
26,Huhi,2020-04-15
27,Tahmek,2020-04-15
28,Tekit,2020-04-15
29,Tunkás,2020-04-15
30,KantunilSanahcat,2020-04-15
31,Maxcanú,2020-04-15
32,Kinchil,2020-04-15
33,Sacalum,2020-04-15
34,Kopomá,2020-04-15
35,Tixkokob,2020-04-15
36,Seyé,2020-04-15
37,Dzidzantún,2020-04-15
38,Temax,2020-04-15
39,Cacalchén,2020-04-15
40,Baca,2020-04-15
41,Cansahcab,2020-04-15
42,TelchacPuerto,2020-04-15
43,Mocochá,2020-04-15
44,Bokobá,2020-04-15
45,Teya,2020-04-15
46,Suma,2020-04-15
47,Kanasín,2020-04-15
48,Motul,2020-04-15
0,Buctzotz,2020-04-16
1,Panabá,2020-04-16
2,Dzilam González,2020-04-16
3,Río Lagartos,2020-04-16
4,Dzilam de Bravo,2020-04-16
5,San Felipe,2020-04-16
6,Izamal,2020-04-16
7,Celestún,2020-04-16
8,Telchac Pueblo,2020-04-16
9,Tekantó,2020-04-16
10,Dzemul,2020-04-16
11,Sinanché,2020-04-16
12,Ixil,2020-04-16
13,Yaxkukul,2020-04-16
14,Muxupip,2020-04-16
15,Yobaín,2020-04-16
16,Tecoh,2020-04-16
17,Acanceh,2020-04-16
18,Abalá,2020-04-16
19,Timucuy,2020-04-16
20,Tixpéual,2020-04-16
21,Progreso,2020-04-16
0,Tizimín,2020-04-17
1,Yaxcabá,2020-04-17
2,Tinum,2020-04-17
3,Chikindzonot,2020-04-17
4,Xocchel,2020-04-17
5,Homún,2020-04-17
6,Cuzamá,2020-04-17
7,Dzoncauich,2020-04-17
8,Tekal de Venegas,2020-04-17
9,Tepakán,2020-04-17
10,Sudzal,2020-04-17
11,Hunucmá,2020-04-17
12,Conkal,2020-04-17
13,Tetiz,2020-04-17
14,Chicxulub pueblo,2020-04-17
15,Ucú,2020-04-17
0,Peto,2020-04-18
1,Tzucacab,2020-04-18
2,Akil,2020-04-18
3,Teabo,2020-04-18
4,Tixméhuac,2020-04-18
5,Mayapán,2020-04-18
6,Umán,2020-04-18
7,Valladolid,2020-04-18
8,Oxkutzcab,2020-04-18
0,Chemax,2020-04-19
1,Tekax,2020-04-19
2,Ticul,2020-04-19
3,Halachó,2020-04-19
4,Muna,2020-04-19
5,Opichén,2020-04-19
6,Chocholá,2020-04-19
7,Samahil,2020-04-19
